;;;;;;Ассортимент;;;;;Ассортимент США;;;;;;Краткие описания;;;;;;ID_CISS;;;;;;;;;;ID_PRINTER_CISS;;;;;;;;;;;ID_PRINTER_RC;;;;;;;;;;ID_SVODNAY_CISS;;;;;;;;ID_CARTRIDGE;;;;;;;;ID_CARTRIDGE_SVODNAYA;;;;;;;;ID_INK_SET;;;;;;;;ID_INK_SEPARETED;;;;;;;;Фильтр поиска по модели;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Цены на официальном сайте;;;;;;;;;;;;Цены на пустые СНПЧ;;;;;;;;;;Цены на пустые ПЗК;;;;;;;;;;Цены на Чернила 100 мл;;;;Цены на принтеры;;;;;;;;;;Цена на оригиналы;;;;;;Наличие на складе Принтеров;;Наличие на складе СНПЧ;;Наличие на складе ПЗК;;Наличие на складе чернил;;;;;
1337;681;25;68125;HP Deskjet 1220c-ps;;;;;;;;;;;;;;;;;;;5421;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;Deskjet;1220c-ps;;;;;desktop;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;A4;11 стр/мин;9,5 стр/мин;;150;;;2400 x 1200;10 кг;1;1;1;1;0;;0;да;нет;нет;нет;нет;;;;;;Windows, Mac OS, DOS;592x381x233 мм;;47 дБ;12;;;;;;;;;;;;;;45/78 ;;;4;33,9;35,9;143,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1338;681;26;68126;HP Deskjet 1200c-ps;;;;;;;;;;;;;;;;;;;5422;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150;150;;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;Deskjet;1200c-ps;;;;;desktop;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;A4;11 стр/мин;9,5 стр/мин;;150;;;2400 x 1200;10 кг;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;45/78 ;;;4;33,9;35,9;143,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1339;681;27;68127;HP Officejet G55;;;;;;;;;;;;;;;;;;;5423;;;;;;;;215;215;;;;;;;;;;;;;;;;;;;;;;215;;215;215;;150;215;215;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;Deskjet;G55;;;;;;;;;;;;;;;;;;;;;A4;;;;;;;;;0;1;1;1;0;;0;да;нет;нет;нет;нет;60г/м2;135 г/м2;;;;;470x292x439 мм;50 Вт;52 дБ;12;;;;;;;;;;;;;;45/78 ;;;4;33,9;35,9;143,6;;3444;750;655300;17805;1970;165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1340;681;28;68128;HP Officejet G85;;;;;;;;;;;;;;;;;;;5424;;;;;;;;215;215;;;;;;;;;;;;;;;;;;;;;;215;;215;215;;150;215;215;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;Deskjet;G85;;;;;;;;;;;;;;;;;;;;;A4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;45/78 ;;;4;33,9;35,9;143,6;;3444;750;655300;17805;1970;165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1341;681;29;68129;HP Officejet G95;;;;;;;;;;;;;;;;;;;5425;;;;;;;;215;215;;;;;;;;;;;;;;;;;;;;;;215;;215;215;;150;215;215;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;Deskjet;G95;;;;;;;;;;;;;;;;;;;;;A4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;45/78 ;;;4;33,9;35,9;143,6;;3444;750;655300;17805;1970;165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1342;681;30;68130;HP Officejet K60;;;;;;;;;;;;;;;;;;;5426;;;;;;;;215;215;;;;;;;;;;;;;;;;;;;;;;215;;215;215;;150;215;215;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;Deskjet;K60;;;;;;;;;;;;;;;;;;;;;A4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;45/78 ;;;4;33,9;35,9;143,6;;3444;750;655300;17805;1970;165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1343;681;31;68131;HP Officejet K80 ;;;;;;;;;;;;;;;;;;;5427;;;;;;;;215;215;;;;;;;;;;;;;;;;;;;;;;215;;215;215;;150;215;215;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;Deskjet;K80;;;;;;;;;;;;;;;;;;;;;A4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;45/78 ;;;4;33,9;35,9;143,6;;3444;750;655300;17805;1970;165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1344;682;32;68232;HP Deskjet 948c ;;;;;;;;;;;;;;;;;;;5428;;8253;;;;;;142;142;;;;;;;;;;;;;;;;;;;;;;142;142;142;142;142;142;142;142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;Deskjet;948c;;;;;;;;;;;;;;;;;;;;;A4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;15/78 ;;;4;33,9;35,9;143,6;;3444;750;655200;17805;1970;165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1345;682;33;68233;HP Deskjet 940c ;;;;;;;;;;;;;;;;;;;5429;;8252;;;;;;142;142;;;;;;;;;;;;;;;;;;;;;;142;142;142;142;142;142;142;142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;Deskjet;940c;;;;;;;;;;;;;;;;;;;;;A4;;;;;;;;;0;1;1;1;0;;0;да;нет;нет;нет;нет;60г/м2;200г/м?;;;;"Windows 3.1x, 95/98, NT 4.0, 2000 Professional, Me, XP Home и Professional; Mac OS 8.1 и выше (только Macintosh с портом USB)";440x375x196 мм;"25 Ватт при печати; 4 Ватта в режиме ожидания";46 дБ;12;;;;;;;нет цен;;;;;;;15/78 ;;;4;33,9;35,9;143,6;;3444;750;655200;17805;1970;165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1346;682;34;68234;HP Deskjet 920c ;;;;;;;;;;;;;;;;;;;5430;;8248;;;;;;142;142;;;;;;;;;;;;;;;;;;;;;;142;142;142;142;142;142;142;142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;Deskjet;920c;;;;;;;;;;;;;;;;;;;;;A4;;;;;;;;;0;1;1;1;0;;0;да;нет;нет;нет;нет;;;;;;Windows, Mac OS, DOS;;"25 Ватт при печати; 4/2 Ватта в режиме ожидания";46 дБ;12;;;;;;;нет цен;;;;;;;15/78 ;;;4;33,9;35,9;143,6;;3444;750;655200;17805;1970;165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1347;682;35;68235;HP Deskjet 916c ;;;;;;;;;;;;;;;;;;;5431;;8247;;;;;;142;142;;;;;;;;;;;;;;;;;;;;;;142;142;142;142;142;142;142;142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;Deskjet;916c;;;;;;;;;;;;;;;;;;;;;A4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;нет цен;;;;;;;15/78 ;;;4;33,9;35,9;143,6;;3444;750;655200;17805;1970;165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1348;682;36;68236;HP Deskjet 3822 ;;;;;;;;;;;;;;;;;;;5432;;8209;;;;;;142;142;;;;;;;;;;;;;;;;;;;;;;142;142;142;142;142;142;142;142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;Deskjet;3822;;;;;;;;;;;;;;;;;;;;;A4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;нет цен;;;;;;;15/78 ;;;4;33,9;35,9;143,6;;3444;750;655200;17805;1970;165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1349;682;37;68237;HP Deskjet 3820 ;;;;;;;;;;;;;;;;;;;5433;;8208;;;;;;142;142;;;;;;;;;;;;;;;;;;;;;;142;142;142;142;142;142;142;142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;Deskjet;3820;;;;;;;;;;;;;;;;;;;;;A4;;;;;;;;;1;1;1;1;0;;0;да;нет;нет;нет;нет;60г/м2;200г/м?;;;;"Windows 95/98/Me/NT 4.0/2000/XP ; Mac OS 8.6 и выше, OS X, 10.1";497 x 300 x 268 мм;"25 Ватт при печати; 4 Ватта в режиме ожидания";;12;;;;;;;нет цен;;;;;;;15/78 ;;;4;33,9;35,9;143,6;;3444;750;655200;17805;1970;165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1350;682;38;68238;HP Deskjet 3816 ;;;;;;;;;;;;;;;;;;;5434;;8207;;;;;;142;142;;;;;;;;;;;;;;;;;;;;;;142;142;142;142;142;142;142;142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;Deskjet;3816;;;;;;;;;;;;;;;;;;;;;A4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;нет цен;;;;;;;15/78 ;;;4;33,9;35,9;143,6;;3444;750;655200;17805;1970;165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1351;682;39;68239;HP Deskjet 3810;;;;;;;;;;;;;;;;;;;5435;;8206;;;;;;142;142;;;;;;;;;;;;;;;;;;;;;;142;142;142;142;142;142;142;142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;Deskjet;3810;;;;;;;;;;;;;;;;;;;;;A4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;нет цен;;;;;;;15/78 ;;;4;33,9;35,9;143,6;;3444;750;655200;17805;1970;165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1352;682;40;68240;HP PSC 950;;;;;;;;;;;;;;;;;;;5436;;8406;;6501;;;;337;337;;;;;;;;;;;;;;;;;;;;;;337;337;337;337;337;337;337;337;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;PSC;950;;;;;;;;;;;;;;;;;;;;;A4;;;;;;;;;1;1;1;1;0;;0;да;нет;нет;нет;нет;;;;;;Microsoft Windows 98, Microsoft Windows 2000, Microsoft Windows Millennium Edition, Microsoft Windows XP, Apple MacOS 9.1, Apple MacOS X;;До 50 Вт;50,5 дБ;12;;;;;;;;;;;;;;15/78 ;;;4;33,9;35,9;143,6;;3444;751;382200;17805;1970;165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1353;682;41;68241;HP PSC 750;;;;;;;;;;;;;;;;;;;5437;;8405;;6502;;;;337;337;;;;;;;;;;;;;;;;;;;;;;337;337;337;337;337;337;337;337;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;PSC;750;;;;;;;;;;;;;;;;;;;;;A4;;;;;;;;;0;1;1;1;0;;0;да;нет;нет;нет;нет;60г/м2;200г/м?;;;;;36 x 50.8 x 42.9 см;50 Ватт;53;12;4 (стр/мин);;;;;;;;;;;;;15/78 ;;;4;33,9;35,9;143,6;;3444;751;382200;17805;1970;165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1354;682;42;68242;HP Officejet V30 ;;;;;;;;;;;;;;;;;;;5438;;;;;;;;219;219;;;;;;;;;;;;;;;;;;;;;;219;;219;219;219;219;219;219;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;Officejet ;V30;;;;;;;;;;;;;;;;;;;;;A4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;15/78 ;;;4;33,9;35,9;143,6;;3444;750;655300;17805;1970;165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1355;682;43;68243;HP Officejet V40 ;;;;;;;;;;;;;;;;;;;5439;;;;;;;;219;219;;;;;;;;;;;;;;;;;;;;;;219;;219;219;219;219;219;219;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;Officejet ;V40;;;;;;;;;;;;;;;;;;;;;A4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;15/78 ;;;4;33,9;35,9;143,6;;3444;750;655300;17805;1970;165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1356;682;44;68244;HP Officejet V45 ;;;;;;;;;;;;;;;;;;;5440;;;;;;;;219;219;;;;;;;;;;;;;;;;;;;;;;219;;219;219;219;219;219;219;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;Officejet ;V45;;;;;;;;;;;;;;;;;;;;;A4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;15/78 ;;;4;33,9;35,9;143,6;;3444;750;655300;17805;1970;165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1357;683;45;68345;HP Deskjet 895c;;;;;;;;;;;;;;;;;;;5441;;8246;;;;;;143;143;;;;;;;;;;;;;;;;;;;;;;143;143;143;143;143;143;143;143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;Deskjet;895c;;;;;;;;;;;;;;;;;;;;;A4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;45/23 ;;;4;33,9;35,9;143,6;;3444;750;382200;17805;1970;214;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1358;683;46;68346;HP Deskjet 890c ;;;;;;;;;;;;;;;;;;;5442;;8245;;;;;;143;143;;;;;;;;;;;;;;;;;;;;;;143;143;143;143;143;143;143;143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;Deskjet;890c;;;;;;;;;;;;;;;;;;;;;A4;;;;;;;;;0;1;0;0;0;;0;да;нет;нет;нет;нет;;;;;;Windows 3.x, Windows 95, Windows NT 4.0;22.6 х 44.4 х 39.6 см;"48 ватт при печати; 5.25 ватта в режиме ожидания";;12;;;;;;;;;;;;;;45/23 ;;;4;33,9;35,9;143,6;;3444;750;382200;17805;1970;214;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1359;683;47;68347;HP Deskjet 882c;;;;;;;;;;;;;;;;;;;5443;;8244;;;;;;143;143;;;;;;;;;;;;;;;;;;;;;;143;143;143;143;143;143;143;143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;Deskjet;882c;;;;;;;;;;;;;;;;;;;;;A4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;45/23 ;;;4;33,9;35,9;143,6;;3444;750;382200;17805;1970;214;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1360;683;48;68348;HP Deskjet 880c;;;;;;;;;;;;;;;;;;;5444;;8243;;;;;;143;143;;;;;;;;;;;;;;;;;;;;;;143;143;143;143;143;143;143;143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;Deskjet;880c;;;;;;;;;;;;;;;;;;;;;A4;;;;;;;;;0;1;1;1;0;;0;да;нет;нет;нет;нет;;;;;;Windows, Mac OS, DOS;446x185x355 мм;;42 дБ;12;;;;;;;;;;;;;;45/23 ;;;4;33,9;35,9;143,6;;3444;750;382200;17805;1970;214;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1361;683;49;68349;HP Deskjet 832c;;;;;;;;;;;;;;;;;;;5445;;8239;;;;;;143;143;;;;;;;;;;;;;;;;;;;;;;143;143;143;143;143;143;143;143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;Deskjet;832c;;;;;;;;;;;;;;;;;;;;;A4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;45/23 ;;;4;33,9;35,9;143,6;;3444;750;382200;17805;1970;214;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1362;683;50;68350;HP Deskjet 830c ;;;;;;;;;;;;;;;;;;;5446;;8238;;;;;;;;;;;;;;;;;;;;;;;;;;;;;143;143;143;143;143;143;143;143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;Deskjet;830c;;;;;;;;;;;;;;;;;;;;;A4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;45/23 ;;;4;33,9;35,9;143,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1363;683;51;68351;HP Deskjet 815c;;;;;;;;;;;;;;;;;;;5447;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;Deskjet;815c;;;;;;;;;;;;;;;;;;;;;A4;;;;;;;;;;;;;;;;;;;;;;;;;;Windows, Mac OS, DOS;446x185x355 мм;;42 дБ;12;;;;;;;;;;;;;;45/23 ;;;4;33,9;35,9;143,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1364;683;52;68352;HP Deskjet 722c;;;;;;;;;;;;;;;;;;;5448;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;Deskjet;722c;;;;;;;;;;;;;;;;;;;;;A4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;45/23 ;;;4;33,9;35,9;143,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1365;683;53;68353;HP Deskjet 720c ;;;;;;;;;;;;;;;;;;;5449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;Deskjet;720c;;;;;;;;;;;;;;;;;;;;;A4;;;;;;;;;0;1;1;1;0;;0;да;нет;нет;нет;нет;;;;;;Windows;446x185x355 мм;;42 дБ;12;;;;;;;;;;;;;;45/23 ;;;4;33,9;35,9;143,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1366;683;54;68354;HP Deskjet 712c;;;;;;;;;;;;;;;;;;;5450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;Deskjet;712c;;;;;;;;;;;;;;;;;;;;;A4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;45/23 ;;;4;33,9;35,9;143,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1367;683;55;68355;HP Deskjet 710c ;;;;;;;;;;;;;;;;;;;5451;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;Deskjet;710c;;;;;;;;;;;;;;;;;;;;;A4;;;;;;;;;1;1;1;1;0;;0;да;нет;нет;нет;нет;60г/м2;200г/м?;;;;486/66 МГц, Microsoft Windows 3.1x, Windows 9x (OЗУ 8 Mб), NT 4.0 (OЗУ 16 Mб), MS-DOS 3.3 и вышe;446x185x355 мм;5 ватт макcимум в выключeннoм cocтoянии, 5 ватт макcимум в peжимe oжидания, 45 ватт макcимум пpи пeчати;42 дБ;12;;;;;;;;;;;;;;45/23 ;;;4;33,9;35,9;143,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1368;683;56;68356;HP Deskjet 1125c ;;;;;;;;;;;;;;;;;;;5452;;8178;;;;;;143;143;;;;;;;;;;;;;;;;;;;;;;143;143;143;143;143;143;143;143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;Deskjet;1125c;;;;;;;;;;;;;;;;;;;;;A4;;;;;;;;;1;1;1;1;0;;0;да;нет;нет;нет;нет;;;;;;Microsoft® Windows® 3.1x, Windows® 95/98, Windows® NT 4.0, Windows® 2000, MSDOS.3.3 и выше, Macintosh®, Microsoft® Windows® Me Millennium (при появлении;579,1 x 223,5 x 380 мм;4,4 Вт максимум в режиме ожидания, 24 Вт максимум при печати;;12;;;;;;;;;;;;;;45/23;;;4;33,9;35,9;143,6;;3444;750;382200;17805;1970;214;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1369;683;57;68357;HP Deskjet 1120c;;;;;;;;;;;;;;;;;;;5453;;8177;;;;;;143;143;;;;;;;;;;;;;;;;;;;;;;143;143;143;143;143;143;143;143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;Deskjet;1120c;;;;;;;;;;;;;;;;;;;;;A4;;;;;;;;;1;1;1;1;0;;0;да;нет;нет;нет;нет;;;;;;Windows, Mac OS, DOS;592x233x381 мм;;47 дБ;12;;;;;;;;;;;;;;45/23;;;4;33,9;35,9;143,6;;3444;750;382200;17805;1970;214;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1370;684;58;68458;HP Officejet Pro 1175c ;;;;;;;;;;;;;;;;;;;5454;;8310;;;;;;221;221;;;;;;;;;;;;;;;;;;;;;;221;221;221;221;221;221;221;221;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;Officejet ;Pro 1175c;;;;;;;;;;;;;;;;;;;;;A4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;нет цен;;;;;;;45/23 ;;;4;33,9;35,9;143,6;;3444;750;344400;17805;1970;165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1371;684;59;68459;HP Officejet Pro 1170c ;;;;;;;;;;;;;;;;;;;5455;;8309;;;;;;221;221;;;;;;;;;;;;;;;;;;;;;;221;221;221;221;221;221;221;221;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;Officejet ;Pro 1170c;;;;;;;;;;;;;;;;;;;;;A4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;нет цен;;;;;;;45/23;;;4;33,9;35,9;143,6;;3444;750;344400;17805;1970;165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1372;684;60;68460;HP Officejet R40 ;;;;;;;;;;;;;;;;;;;5456;;;;;;;;221;221;;;;;;;;;;;;;;;;;;;;;;221;221;221;221;221;221;221;221;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;Officejet ;R40;;;;;;;;;;;;;;;;;;;;;A4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;нет цен;;;;;;;45/23;;;4;33,9;35,9;143,6;;3444;750;344400;17805;1970;165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1373;684;61;68461;HP Officejet R60;;;;;;;;;;;;;;;;;;;5457;;;;;;;;221;221;;;;;;;;;;;;;;;;;;;;;;221;221;221;221;221;221;221;221;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;Officejet ;R60;;;;;;;;;;;;;;;;;;;;;A4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;нет цен;;;;;;;45/23;;;4;33,9;35,9;143,6;;3444;750;344400;17805;1970;165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1374;684;62;68462;HP Officejet R80 ;;;;;;;;;;;;;;;;;;;5458;;;;;;;;221;221;;;;;;;;;;;;;;;;;;;;;;221;221;221;221;221;221;221;221;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;Officejet ;R80;;;;;;;;;;;;;;;;;;;;;A4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;нет цен;;;;;;;45/23;;;4;33,9;35,9;143,6;;3444;750;344400;17805;1970;165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1375;684;63;68463;HP Officejet T45 ;;;;;;;;;;;;;;;;;;;5459;;;;;;;;221;221;;;;;;;;;;;;;;;;;;;;;;221;221;221;221;221;221;221;221;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;Officejet ;T45;;;;;;;;;;;;;;;;;;;;;A4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;нет цен;;;;;;;45/23;;;4;33,9;35,9;143,6;;3444;750;344400;17805;1970;165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1376;684;64;68464;HP Officejet T65;;;;;;;;;;;;;;;;;;;5460;;;;;;;;221;221;;;;;;;;;;;;;;;;;;;;;;221;221;221;221;221;221;221;221;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;Officejet ;T65;;;;;;;;;;;;;;;;;;;;;A4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;нет цен;;;;;;;45/23;;;4;33,9;35,9;143,6;;3444;750;344400;17805;1970;165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1377;691;1;6911;HP Deskjet D2368;CISS for 4-colors separate-cartridge HP (without cartridge);;;;;;;;;;;;;;;;;;5461;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;715;715;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;Deskjet;D2368;;;;;;;;;;;;;;;;;;;;;A4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;816/817 ;;;4;33,9;35,9;143,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1378;691;2;6912;HP Deskjet D2338 ;;;;;;;;;;;;;;;;;;;5462;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;715;715;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;Deskjet;D2338;;;;;;;;;;;;;;;;;;;;;A4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;816/818;;;4;33,9;35,9;143,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1379;691;3;6913;HP Deskjet D2468;;;;;;;;;;;;;;;;;;;5463;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;715;715;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;Deskjet;D2468;;;;;;;;;;;;;;;;;;;;;A4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;816/819;;;4;33,9;35,9;143,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1380;691;4;6914;HP Deskjet D1368 ;;;;;;;;;;;;;;;;;;;5464;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;715;715;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hp;Deskjet;D1368;;;;;;;;;;;;;;;;;;;;;A4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;816/820;;;4;33,9;35,9;143,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
